"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1324468128600924160","https://twitter.com/rivi_h30/status/1324468128600924160","@teruyama_mecha そうですよね！

おそらく反対派の多くは人が運転することを前提としている気がしますが、

車が空を飛ぶ頃にはきっと自動運転が完成しているので、
結構安全な気がします！","2020-11-05 21:46 +0000","32.0","1.0","0.03125","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1324467591058915328","https://twitter.com/rivi_h30/status/1324467591058915328","中国に工場を持っている機械メーカーは、コロナショックから回復しつつありますねー！

ヤマザキマザック、中国生産能力２割増　設備更新前倒し | 日刊工業新聞 電子版 https://t.co/2N1sJwALec","2020-11-05 21:44 +0000","362.0","20.0","0.055248618784530384","0.0","0.0","5.0","0.0","12.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1324464276044619778","https://twitter.com/rivi_h30/status/1324464276044619778","ブログを更新しました。
【「工具が入らない！」に備えよう！工具干渉の対策に使えるアイデア】

設計者が現場に行くと、周りから
「設計者＝責任者」
と認識されます。

工具干渉は結構起こり得ますが、それでも現場で慌てないよう対策しましょう。
https://t.co/ts1j39mec1","2020-11-05 21:31 +0000","528.0","65.0","0.12310606060606061","2.0","0.0","12.0","6.0","32.0","0.0","13.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1324116088649494528","https://twitter.com/rivi_h30/status/1324116088649494528","現時点で認知されている技術や、運用の仕組み（免許など）をベースで考えると、「頭上を車が飛ぶなんてとんでもない！」と考える人が多いのでしょう。

ただ現に、飛行機やヘリコプターは頭上を飛んでいます。

そのあたりが将来整備されることを期待して、私は賛成ですね！
https://t.co/k9XlZ3NR1O","2020-11-04 22:27 +0000","518.0","14.0","0.02702702702702703","0.0","1.0","7.0","2.0","3.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1323756503879184384","https://twitter.com/rivi_h30/status/1323756503879184384","加工ってすごい地味で古臭いイメージを持たれている方もいるかも知れませんが、実はなかなか奥が深いです。

いくら精度がよいとされる切削加工でも、
加工する母材や切削条件を見極めつつ、熱をコントロールしないと、
普通に寸法が狂います。
https://t.co/gtwPHD1EKN","2020-11-03 22:38 +0000","451.0","21.0","0.04656319290465632","0.0","0.0","7.0","0.0","10.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1323440918670659586","https://twitter.com/rivi_h30/status/1323440918670659586","就活のときに聞いたのを思い出しますが、
「川重の社員は、良くも悪くものんびりしている」
とのこと。

時代の変化が激しい中では「のんびり」の悪いところが目立っているのかも。

いい方向へカワれることを期待しています。
https://t.co/yZLhuBNv8E","2020-11-03 01:44 +0000","508.0","39.0","0.07677165354330709","0.0","0.0","4.0","6.0","17.0","0.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1323016451045748736","https://twitter.com/rivi_h30/status/1323016451045748736","個人的には、目新しい機能よりも、基本設定のカスタマイズ性を向上してほしいと感じています。

特に、スケッチの際のスナップの感度を調整できるといいですかね。
感度が低いと、マウスポインタの速度を下げざるを得ない・・・
https://t.co/lgZiaGZX3E","2020-11-01 21:37 +0000","367.0","9.0","0.02452316076294278","0.0","0.0","1.0","2.0","4.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322739185174814720","https://twitter.com/rivi_h30/status/1322739185174814720","【10月ブログ報告（17ヶ月目）】
月間PV:72,263 PV/月(+7,626)
合計PV:616,795

いつもブログを読んでくださり、ありがとうございます！
コロナ禍の収束が見えない中、明後日はアメリカ大統領選ですね！
われわれ製造業にも大きく関わることなので、注目の一日ですね！","2020-11-01 03:16 +0000","513.0","24.0","0.04678362573099415","0.0","0.0","4.0","12.0","0.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322349816802811904","https://twitter.com/rivi_h30/status/1322349816802811904","@tennisplayman ANAは特に厳しそうですよねー。

飛行機が飛べなくなる原因は
コロナ等の疫病以外にも、
天候、戦争・テロ等などもあるため、
かなりリスクの高い業界というのがよくわかります。。

航空機の売却も検討しているとのことですが、そもそも買ってくれるところがあるかどうか・・・","2020-10-31 01:28 +0000","95.0","3.0","0.031578947368421054","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1322338036194004992","https://twitter.com/rivi_h30/status/1322338036194004992","理系にも文系にも、みんなに憧れられていたANAやJAL。

私も落ちはしましたが、就活の際は2社とも応募しました。
やっぱ航空機って憧れますよね！

ところが、コロナの影響で、今や人気も利益も急降下。
仕方ないですが、今後数年間はこのような状態が続く気がします・・・
https://t.co/Ku27A34aDJ","2020-10-31 00:42 +0000","607.0","37.0","0.060955518945634266","1.0","1.0","3.0","4.0","14.0","0.0","14.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
